Flora	Mac	Time	Name	Temp	moisture	light	conductivity	battery
Flora1	C4:7C:8D:64:76:67	2019-10-29 14:40:01	Flower care	22.4	43	48	356	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 14:40:01	Flower care	22.3	41	56	1254	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 14:50:02	Flower care	22.5	43	87	356	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 14:50:02	Flower care	22.3	41	55	1254	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 15:00:01	Flower care	22.7	43	30	353	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 15:00:01	Flower care	22.5	41	99	1240	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 15:10:01	Flower care	22.8	44	50	355	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 15:10:01	Flower care	22.7	41	1	1236	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 15:20:02	Flower care	20.2	43	71	370	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 15:20:02	Flower care	20.5	41	55	1275	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 15:30:01	Flower care	20.7	43	11	365	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 15:30:01	Flower care	21.0	41	95	1245	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 15:40:01	Flower care	21.3	43	13	363	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 15:40:01	Flower care	21.5	41	55	1235	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 15:50:01	Flower care	22.0	43	90	356	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 15:50:01	Flower care	22.0	41	76	1233	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 16:00:02	Flower care	22.3	43	27	355	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 16:00:02	Flower care	22.2	41	99	1220	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 16:10:01	Flower care	22.4	43	47	354	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 16:10:01	Flower care	22.4	41	55	1207	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 16:20:01	Flower care	22.6	43	90	353	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 16:20:01	Flower care	22.5	41	56	1187	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 16:30:01	Flower care	22.5	43	27	354	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 16:30:01	Flower care	22.4	41	58	1198	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 16:40:01	Flower care	19.1	43	32	375	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 16:40:01	Flower care	19.5	41	53	1249	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 16:50:01	Flower care	20.2	42	89	368	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 16:50:01	Flower care	20.4	41	73	1222	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 17:00:01	Flower care	21.0	43	29	362	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 17:00:01	Flower care	21.0	41	95	1200	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 17:10:02	Flower care	21.3	43	50	361	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 17:10:02	Flower care	21.3	41	35	1203	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 17:20:01	Flower care	19.0	43	92	373	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 17:20:01	Flower care	19.2	41	58	1237	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 17:30:02	Flower care	19.8	43	50	367	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 17:30:02	Flower care	19.8	41	99	1216	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 17:40:01	Flower care	19.6	43	50	370	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 17:40:01	Flower care	19.6	41	37	1210	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 17:50:01	Flower care	19.4	43	92	371	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 17:50:01	Flower care	19.5	41	73	1194	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 18:00:01	Flower care	20.0	43	0	366	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 18:00:01	Flower care	20.2	41	95	1170	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 18:10:01	Flower care	19.0	43	30	370	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 18:10:01	Flower care	19.1	41	17	1182	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 18:20:02	Flower care	19.5	43	92	367	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 18:20:02	Flower care	19.6	41	73	1173	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 18:30:01	Flower care	20.1	43	30	362	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 18:30:01	Flower care	20.2	41	78	1152	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 18:40:01	Flower care	18.9	43	34	370	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 18:40:01	Flower care	19.1	41	53	1164	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 18:50:01	Flower care	19.4	43	90	365	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 18:50:01	Flower care	19.7	41	58	1143	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 19:00:01	Flower care	20.1	43	29	362	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 19:00:01	Flower care	20.2	41	95	1133	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 19:10:01	Flower care	18.7	42	0	372	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 19:10:01	Flower care	19.1	41	39	1136	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 19:20:02	Flower care	19.3	42	90	366	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 19:20:02	Flower care	19.5	41	58	1138	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 19:30:01	Flower care	19.9	43	29	362	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 19:30:01	Flower care	20.0	41	76	1128	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 19:40:02	Flower care	19.8	43	34	363	100
Flora2	C4:7C:8D:64:5D:17	2019-10-29 19:40:02	Flower care	20.0	41	53	1110	100
Flora1	C4:7C:8D:64:76:67	2019-10-29 19:50:01	Flower care	19.2	42	90	365	100
