Flora	Mac	Time	Name	Temp	moisture	light	conductivity	battery
In	C4:7C:8D:64:76:67	2019-09-05 00:50:02	Flower care	25.2	11	34	0	62
Out	C4:7C:8D:64:5D:17	2019-09-05 00:50:08	Flower care	27.5	6	58	0	100
In	C4:7C:8D:64:76:67	2019-09-05 01:00:02	Flower care	25.0	11	50	0	61
Out	C4:7C:8D:64:5D:17	2019-09-05 01:00:04	Flower care	25.9	6	118	0	100
In	C4:7C:8D:64:76:67	2019-09-05 01:10:02	Flower care	24.9	11	32	0	61
Out	C4:7C:8D:64:5D:17	2019-09-05 01:10:05	Flower care	25.7	6	94	0	100
In	C4:7C:8D:64:76:67	2019-09-05 01:20:02	Flower care	24.7	11	53	0	61
Out	C4:7C:8D:64:5D:17	2019-09-05 01:20:06	Flower care	25.5	6	115	0	100
In	C4:7C:8D:64:76:67	2019-09-05 01:30:02	Flower care	24.6	11	34	0	61
Out	C4:7C:8D:64:5D:17	2019-09-05 01:30:03	Flower care	25.4	6	90	0	100
In	C4:7C:8D:64:76:67	2019-09-05 01:40:02	Flower care	24.4	11	53	0	60
Out	C4:7C:8D:64:5D:17	2019-09-05 01:40:06	Flower care	25.3	6	115	0	100
In	C4:7C:8D:64:76:67	2019-09-05 01:50:02	Flower care	24.4	11	34	0	60
Out	C4:7C:8D:64:5D:17	2019-09-05 01:50:04	Flower care	25.3	7	55	0	100
In	C4:7C:8D:64:76:67	2019-09-05 02:00:02	Flower care	24.3	11	30	0	61
Out	C4:7C:8D:64:5D:17	2019-09-05 02:00:05	Flower care	25.2	6	132	0	100
In	C4:7C:8D:64:76:67	2019-09-05 02:10:02	Flower care	23.9	11	29	0	60
Out	C4:7C:8D:64:5D:17	2019-09-05 02:10:04	Flower care	24.8	6	21	0	100
In	C4:7C:8D:64:76:67	2019-09-05 02:20:02	Flower care	23.7	11	55	0	58
Out	C4:7C:8D:64:5D:17	2019-09-05 02:20:07	Flower care	24.5	6	115	0	100
In	C4:7C:8D:64:76:67	2019-09-05 02:30:02	Flower care	23.6	11	34	0	58
Out	C4:7C:8D:64:5D:17	2019-09-05 02:30:07	Flower care	24.4	6	78	0	100
In	C4:7C:8D:64:76:67	2019-09-05 02:40:02	Flower care	23.5	11	50	0	58
Out	C4:7C:8D:64:5D:17	2019-09-05 02:40:05	Flower care	24.3	6	117	0	100
In	C4:7C:8D:64:76:67	2019-09-05 02:50:02	Flower care	23.3	11	50	0	58
Out	C4:7C:8D:64:5D:17	2019-09-05 02:50:05	Flower care	24.0	6	55	0	100
In	C4:7C:8D:64:76:67	2019-09-05 03:00:02	Flower care	23.1	11	0	0	58
Out	C4:7C:8D:64:5D:17	2019-09-05 03:00:06	Flower care	24.0	6	97	0	100
In	C4:7C:8D:64:76:67	2019-09-05 03:10:01	Flower care	23.3	11	30	0	58
Out	C4:7C:8D:64:5D:17	2019-09-05 03:10:04	Flower care	24.0	6	76	0	100
In	C4:7C:8D:64:76:67	2019-09-05 03:20:02	Flower care	23.2	11	55	0	58
Out	C4:7C:8D:64:5D:17	2019-09-05 03:20:04	Flower care	24.0	6	117	0	100
In	C4:7C:8D:64:76:67	2019-09-05 03:30:02	Flower care	23.2	11	30	0	58
Out	C4:7C:8D:64:5D:17	2019-09-05 03:30:04	Flower care	24.0	6	56	0	100
In	C4:7C:8D:64:76:67	2019-09-05 03:40:02	Flower care	23.2	11	55	0	58
Out	C4:7C:8D:64:5D:17	2019-09-05 03:40:04	Flower care	24.0	6	97	0	100
In	C4:7C:8D:64:76:67	2019-09-05 03:50:02	Flower care	23.3	11	30	0	58
Out	C4:7C:8D:64:5D:17	2019-09-05 03:50:19	Flower care	24.0	6	9	0	100
In	C4:7C:8D:64:76:67	2019-09-05 04:00:02	Flower care	23.1	11	34	0	58
Out	C4:7C:8D:64:5D:17	2019-09-05 04:00:05	Flower care	23.9	6	118	0	100
In	C4:7C:8D:64:76:67	2019-09-05 04:10:02	Flower care	22.9	11	14	0	57
Out	C4:7C:8D:64:5D:17	2019-09-05 04:10:04	Flower care	23.6	6	60	0	100
In	C4:7C:8D:64:76:67	2019-09-05 04:20:02	Flower care	22.7	11	55	0	58
Out	C4:7C:8D:64:5D:17	2019-09-05 04:20:05	Flower care	23.4	6	100	0	100
In	C4:7C:8D:64:76:67	2019-09-05 04:30:02	Flower care	22.7	11	50	0	57
Out	C4:7C:8D:64:5D:17	2019-09-05 04:30:06	Flower care	23.2	6	9	0	100
In	C4:7C:8D:64:76:67	2019-09-05 04:40:02	Flower care	22.6	11	55	0	58
Out	C4:7C:8D:64:5D:17	2019-09-05 04:40:06	Flower care	23.3	6	100	0	100
In	C4:7C:8D:64:76:67	2019-09-05 04:50:02	Flower care	22.7	11	30	0	57
Out	C4:7C:8D:64:5D:17	2019-09-05 04:50:04	Flower care	23.4	6	24	0	100
In	C4:7C:8D:64:76:67	2019-09-05 05:00:02	Flower care	22.9	11	55	0	58
Out	C4:7C:8D:64:5D:17	2019-09-05 05:00:06	Flower care	23.6	6	97	0	100
In	C4:7C:8D:64:76:67	2019-09-05 05:10:02	Flower care	22.8	11	30	0	57
Out	C4:7C:8D:64:5D:17	2019-09-05 05:10:06	Flower care	23.5	6	81	0	100
In	C4:7C:8D:64:76:67	2019-09-05 05:20:02	Flower care	22.6	11	55	0	58
Out	C4:7C:8D:64:5D:17	2019-09-05 05:20:05	Flower care	23.1	6	82	0	100
In	C4:7C:8D:64:76:67	2019-09-05 05:30:02	Flower care	22.5	11	30	0	57
Out	C4:7C:8D:64:5D:17	2019-09-05 05:30:06	Flower care	23.2	6	8	0	100
In	C4:7C:8D:64:76:67	2019-09-05 05:40:01	Flower care	22.5	11	52	0	57
Out	C4:7C:8D:64:5D:17	2019-09-05 05:40:16	Flower care	23.3	6	117	0	100
In	C4:7C:8D:64:76:67	2019-09-05 05:50:01	Flower care	22.5	11	113	0	56
Out	C4:7C:8D:64:5D:17	2019-09-05 05:50:04	Flower care	23.1	6	110	0	100
In	C4:7C:8D:64:76:67	2019-09-05 06:00:01	Flower care	22.5	11	299	0	57
Out	C4:7C:8D:64:5D:17	2019-09-05 06:00:05	Flower care	23.1	6	277	0	100
In	C4:7C:8D:64:76:67	2019-09-05 06:10:02	Flower care	22.5	11	451	0	56
Out	C4:7C:8D:64:5D:17	2019-09-05 06:10:04	Flower care	23.2	7	334	0	100
In	C4:7C:8D:64:76:67	2019-09-05 06:20:02	Flower care	23.2	11	537	0	58
Out	C4:7C:8D:64:5D:17	2019-09-05 06:20:06	Flower care	23.5	6	475	0	100
In	C4:7C:8D:64:76:67	2019-09-05 06:30:02	Flower care	23.0	11	632	0	58
Out	C4:7C:8D:64:5D:17	2019-09-05 06:30:05	Flower care	23.5	7	517	0	100
In	C4:7C:8D:64:76:67	2019-09-05 06:40:02	Flower care	23.0	11	833	0	58
Out	C4:7C:8D:64:5D:17	2019-09-05 06:40:05	Flower care	23.5	7	709	0	100
In	C4:7C:8D:64:76:67	2019-09-05 06:50:01	Flower care	23.0	11	1112	0	58
Out	C4:7C:8D:64:5D:17	2019-09-05 06:50:04	Flower care	23.6	7	842	0	100
In	C4:7C:8D:64:76:67	2019-09-05 07:00:01	Flower care	23.3	11	1211	0	58
Out	C4:7C:8D:64:5D:17	2019-09-05 07:00:09	Flower care	24.1	7	983	0	100
In	C4:7C:8D:64:76:67	2019-09-05 07:10:01	Flower care	23.5	11	1207	0	58
Out	C4:7C:8D:64:5D:17	2019-09-05 07:10:07	Flower care	24.1	7	958	0	100
In	C4:7C:8D:64:76:67	2019-09-05 07:20:02	Flower care	23.5	11	1327	0	58
Out	C4:7C:8D:64:5D:17	2019-09-05 07:20:06	Flower care	24.0	7	1135	0	100
In	C4:7C:8D:64:76:67	2019-09-05 07:30:02	Flower care	23.3	11	1416	0	58
Out	C4:7C:8D:64:5D:17	2019-09-05 07:30:06	Flower care	23.8	7	1159	0	100
In	C4:7C:8D:64:76:67	2019-09-05 07:40:02	Flower care	23.4	11	1507	0	58
Out	C4:7C:8D:64:5D:17	2019-09-05 07:40:05	Flower care	24.0	7	1273	0	100
In	C4:7C:8D:64:76:67	2019-09-05 07:50:01	Flower care	23.7	11	1600	0	58
Out	C4:7C:8D:64:5D:17	2019-09-05 07:50:03	Flower care	24.2	7	1230	0	100
In	C4:7C:8D:64:76:67	2019-09-05 08:00:02	Flower care	23.7	11	1760	0	58
Out	C4:7C:8D:64:5D:17	2019-09-05 08:00:04	Flower care	24.2	7	1448	0	100
In	C4:7C:8D:64:76:67	2019-09-05 08:10:02	Flower care	24.0	11	1903	0	60
Out	C4:7C:8D:64:5D:17	2019-09-05 08:10:05	Flower care	24.4	7	1526	0	100
In	C4:7C:8D:64:76:67	2019-09-05 08:20:01	Flower care	24.1	11	1739	0	60
Out	C4:7C:8D:64:5D:17	2019-09-05 08:20:04	Flower care	24.6	7	1393	0	100
In	C4:7C:8D:64:76:67	2019-09-05 08:30:02	Flower care	24.1	11	1787	0	60
Out	C4:7C:8D:64:5D:17	2019-09-05 08:30:06	Flower care	24.9	7	1382	0	100
In	C4:7C:8D:64:76:67	2019-09-05 08:40:02	Flower care	24.5	11	1694	0	60
Out	C4:7C:8D:64:5D:17	2019-09-05 08:40:04	Flower care	25.1	7	1361	0	100
In	C4:7C:8D:64:76:67	2019-09-05 08:50:02	Flower care	24.6	11	1547	0	60
Out	C4:7C:8D:64:5D:17	2019-09-05 08:50:05	Flower care	25.1	7	1172	0	100
In	C4:7C:8D:64:76:67	2019-09-05 09:00:02	Flower care	24.3	11	1578	0	60
Out	C4:7C:8D:64:5D:17	2019-09-05 09:00:12	Flower care	25.0	7	1245	0	100
In	C4:7C:8D:64:76:67	2019-09-05 09:10:02	Flower care	24.4	11	2089	0	60
Out	C4:7C:8D:64:5D:17	2019-09-05 09:10:04	Flower care	25.0	7	1638	0	100
