Position	MacAddress	Time	Name	Temperature	Moisture	Light	Conductivity	Battery
In	C4:7C:8D:64:76:67	2019-07-06 01:40:01	Flower care	29.2	12	13	49	100
Out	C4:7C:8D:64:5D:17	2019-07-06 01:40:03	Flower care	22.1	5	30	0	77
In	C4:7C:8D:64:76:67	2019-07-06 02:00:01	Flower care	29.6	12	13	50	100
Out	C4:7C:8D:64:5D:17	2019-07-06 02:00:03	Flower care	22.1	5	187	0	77
In	C4:7C:8D:64:76:67	2019-07-06 02:20:01	Flower care	29.5	12	32	53	100
Out	C4:7C:8D:64:5D:17	2019-07-06 02:20:03	Flower care	22.4	5	186	0	77
In	C4:7C:8D:64:76:67	2019-07-06 02:40:01	Flower care	29.6	12	0	50	100
Out	C4:7C:8D:64:5D:17	2019-07-06 02:40:03	Flower care	22.3	5	170	0	78
In	C4:7C:8D:64:76:67	2019-07-06 03:00:01	Flower care	29.5	12	13	50	100
Out	C4:7C:8D:64:5D:17	2019-07-06 03:00:04	Flower care	22.4	5	166	0	77
In	C4:7C:8D:64:76:67	2019-07-06 03:20:01	Flower care	29.5	12	32	52	100
Out	C4:7C:8D:64:5D:17	2019-07-06 03:20:04	Flower care	22.6	5	68	0	82
In	C4:7C:8D:64:76:67	2019-07-06 03:40:01	Flower care	29.6	13	0	50	100
Out	C4:7C:8D:64:5D:17	2019-07-06 03:40:03	Flower care	22.7	5	170	0	78
In	C4:7C:8D:64:76:67	2019-07-06 04:00:02	Flower care	29.6	12	13	50	100
Out	C4:7C:8D:64:5D:17	2019-07-06 04:00:04	Flower care	22.7	5	68	0	82
In	C4:7C:8D:64:76:67	2019-07-06 04:20:01	Flower care	29.6	12	32	53	100
Out	C4:7C:8D:64:5D:17	2019-07-06 04:20:03	Flower care	22.7	5	4	0	77
In	C4:7C:8D:64:76:67	2019-07-06 04:40:02	Flower care	29.6	12	0	50	100
Out	C4:7C:8D:64:5D:17	2019-07-06 04:40:05	Flower care	22.7	5	132	0	79
In	C4:7C:8D:64:76:67	2019-07-06 05:00:02	Flower care	29.4	12	16	50	100
Out	C4:7C:8D:64:5D:17	2019-07-06 05:00:04	Flower care	22.7	5	202	0	77
In	C4:7C:8D:64:76:67	2019-07-06 05:20:02	Flower care	29.4	12	32	52	100
Out	C4:7C:8D:64:5D:17	2019-07-06 05:20:05	Flower care	22.8	5	457	0	77
